### BCODMO_SM Matrix Material terms:
ENVO:01001376	#marine faunal bed
ENVO:01000028	#marine hadal zone
ENVO:01000130	#marine hydrothermal plume
ENVO:01000122	#marine hydrothermal vent
ENVO:01000129	#marine hydrothermal vent chimney
ENVO:01000295	#marine layer
ENVO:01000079	#marine lysocline
ENVO:00000213	#marine mesopelagic zone
ENVO:01000025	#marine neritic benthic zone
ENVO:00000206	#marine neritic zone
ENVO:01000065	#marine oxygen minimum zone
ENVO:01000023	#marine pelagic zone
ENVO:00000208	#marine pelagic zone
ENVO:00000209	#marine photic zone
ENVO:01000160	#marine pockmark
ENVO:01000077	#marine pycnocline
ENVO:01000143	#marine reef
ENVO:01000161	#marine sponge reef
ENVO:01000068	#marine streamer
ENVO:01000150	#marine subtidal rocky reef
ENVO:01000099	#marine surface current
ENVO:01000072	#marine Taylor column
ENVO:01000075	#marine thermocline
ENVO:01001336	#marine tidal flow
ENVO:01000109	#marine warm water mass
ENVO:00001999	#marine water body
ENVO:01000686	#marine water mass
ENVO:01000061	#marine wind mixed layer
ENVO:00000035	#marsh
ENVO:03000040	#melt pond
ENVO:00000199	#meromictic lake
ENVO:00002128	#mesophilic sulfur spring
ENVO:01000069	#mesoscale marine eddy
ENVO:01000539	#mesosphere
ENVO:01000775	#mesotrophic lake
ENVO:00002132	#metalimnion
ENVO:03000083	#methane-releasing thermokarst lake
ENVO:1000749	#microcontinental island
ENVO:00000406	#mid-ocean ridge
ENVO:01000088	#mid-shelf fronts
ENVO:00001996	#mine drainage
ENVO:00000125	#mineral spring
ENVO:01000750	#Mohorovicic discontinuity
ENVO:01000288	#monomictic lake
ENVO:00000231	#moor
ENVO:00000479	#mouth
ENVO:00000192	#mudflat
ENVO:01001485	#multiple vortex tornado
ENVO:01001379	#mussel bed
ENVO:01001386	#mussel reef
ENVO:00000465	#natural harbor
ENVO:01001729	#nautical squall
ENVO:00000048	#navigation canal
ENVO:01000042	#neritic epipelagic zone
ENVO:01000043	#neritic mesopelagic zone
ENVO:01001389	#neritic mussel bed
ENVO:01001380	#neritic mussel reef
ENVO:01000032	#neritic pelagic zone
ENVO:01000041	#neritic sea surface microlayer
ENVO:00002181	#neutral hot spring
ENVO:01001717	#neutral occluded front
ENVO:01001675	#nutricline
ENVO:00000493	#obsequent stream
ENVO:01001714	#occluded front
ENVO:00000015	#ocean
ENVO:00002450	#ocean basin
ENVO:00000426	#ocean floor
ENVO:01000651	#ocean strait
ENVO:00000275	#ocean trench
ENVO:01000038	#oceanic abyssopelagic zone
ENVO:01000037	#oceanic bathypelagic zone
ENVO:01000040	#oceanic benthopelagic zone
ENVO:01000749	#oceanic crust
ENVO:01000035	#oceanic epipelagic zone
ENVO:01000071	#oceanic front
ENVO:01000074	#oceanic gyre
ENVO:01000039	#oceanic hadal pelagic zone
ENVO:00000222	#oceanic island
ENVO:01000036	#oceanic mesopelagic zone
ENVO:01001388	#oceanic mussel bed
ENVO:01001381	#oceanic mussel reef
ENVO:01000033	#oceanic pelagic zone
ENVO:01000034	#oceanic sea surface microlayer
ENVO:00000207	#oceanic zone
ENVO:00002185	#oil reservoir
ENVO:00002063	#oil seep
ENVO:01000774	#oligotrophic lake
ENVO:01000642	#outer planetary core
ENVO:00000202	#oxbow lake
ENVO:01001076	#oxic lake
ENVO:01000542	#ozone layer
ENVO:00000188	#palsa mire
ENVO:00000487	#paternoster lake
ENVO:00000189	#peat swamp
ENVO:00000044	#peatland
ENVO:01000081	#pelagic isohaline surface
ENVO:01000083	#pelagic isopycnal surface
ENVO:01000080	#pelagic isothermal surface
ENVO:00000305	#peninsula
ENVO:03000115	#perennial snow patch
ENVO:00000200	#periglacial lake
ENVO:00000205	#permanent spring
ENVO:00000086	#plain
ENVO:01000641	#planetary core
ENVO:01000638	#planetary crust
ENVO:01000639	#planetary layer
ENVO:01000640	#planetary mantle
ENVO:01000085	#plume front
ENVO:00000483	#plunge pool
