### BCODMO_SM element terms:
CHEBI:35162	#acyclic carotene
CHEBI:16449	#alanine
CHEBI:28315	#alloxanthine
CHEBI:28425	#alpha-carotene
CHEBI:10223	#alpha-cryptoxanthin
CHEBI:35063	#alpha-zeacarotene
CHEBI:33620	#aluminium compound
CHEBI:30187	#aluminium oxide
CHEBI:74772	#aluminium sulfate
CHEBI:48730	#aluminosilicate mineral
CHEBI:33709	#amino acid
CHEBI:29773	#aminooxidanide
CHEBI:29318	#aminyl
CHEBI:16134	#ammonia
CHEBI:28938	#ammonium
CHEBI:85364	#ammonium bromide
CHEBI:31206	#ammonium chloride
CHEBI:66871	#ammonium fluoride
CHEBI:18219	#ammonium hydroxide
CHEBI:63040	#ammonium iodide
CHEBI:149425	#ammonium magnesium phosphate
CHEBI:149427	#ammonium magnesium phosphate hexahydrate
CHEBI:86151	#ammonium nickel sulfate
CHEBI:63038	#ammonium nitrate
CHEBI:147420	#ammonium nitrate phosphate
CHEBI:147419	#ammonium phosphate sulfate
CHEBI:62946	#ammonium sulfate
CHEBI:27867	#antheraxanthin
CHEBI:46681	#anthophyllite
CHEBI:46672	#antigorite
CHEBI:36923	#antimonate(1-)
CHEBI:36924	#antimonate(2-)
CHEBI:30295	#antimonate(3-)
CHEBI:30294	#antimonic acid
CHEBI:30297	#antimonite
CHEBI:49870	#antimonous acid
CHEBI:36919	#antimony compound
CHEBI:36918	#antimony hydride
CHEBI:36920	#antimony oxoacid
CHEBI:36921	#antimony oxoanion
CHEBI:52254	#apatite
CHEBI:52239	#aragonite
CHEBI:29016	#arginine
CHEBI:47217	#arsane
CHEBI:29760	#arsanediide
CHEBI:29755	#arsanide
CHEBI:33105	#arsanyl
CHEBI:29757	#arsanylium
CHEBI:22629	#arsenate ion
CHEBI:48600	#arsenate(1-)
CHEBI:48597	#arsenate(2-)
CHEBI:29125	#arsenate(3-)
CHEBI:18231	#arsenic acid
CHEBI:22632	#arsenic compound
CHEBI:35822	#arsenic hydride
CHEBI:33407	#arsenic oxoacid
CHEBI:35776	#arsenic oxoanion
CHEBI:22633	#arsenite ion
CHEBI:29242	#arsenite(1-)
CHEBI:29243	#arsenite(2-)
CHEBI:29866	#arsenite(3-)
CHEBI:75861	#arsenopyrite
CHEBI:49900	#arsenous acid
CHEBI:29846	#arsinate
CHEBI:29840	#arsinic acid
CHEBI:29845	#arsinite
CHEBI:29844	#arsinous acid
CHEBI:64448	#arsonate(1-)
CHEBI:29754	#arsonate(2-)
CHEBI:29850	#arsonic acid
CHEBI:33410	#arsonite(1-)
CHEBI:29753	#arsonite(2-)
CHEBI:30272	#arsonium
CHEBI:29847	#arsonous acid
CHEBI:35839	#arsorane
CHEBI:46661	#asbestos
CHEBI:22653	#asparagine
CHEBI:22660	#aspartic acid
CHEBI:40968	#astaxanthin
CHEBI:15422	#ATP
CHEBI:35335	#auroxanthin
CHEBI:35107	#azane
CHEBI:29337	#azanide
CHEBI:29338	#azanylium
CHEBI:37766	#azinic acid
CHEBI:37769	#azonic acid
CHEBI:38201	#bacteriochlorophyll
CHEBI:30033	#bacteriochlorophyll a
CHEBI:22686	#bacteriochlorophyll b
CHEBI:60197	#bacteriochlorophyll c
CHEBI:81546	#bacteriochlorophyllide a
CHEBI:81552	#bacteriochlorophyllide c
CHEBI:81551	#bacteriochlorophyllide d
CHEBI:137300	#bacteriochlorophyllide e
CHEBI:139546	#bacteriochlorophyllide f
CHEBI:91291	#bacteriochlorophyllide g
CHEBI:63317	#barium chloride
CHEBI:37133	#barium compound
CHEBI:32592	#barium dihydroxide
CHEBI:35152	#barium hydroxide
CHEBI:35112	#barium monohydroxide
CHEBI:63320	#barium salt
CHEBI:133326	#barium sulfate
CHEBI:133326	#barium sulfate
CHEBI:32590	#barium sulfide
CHEBI:32590	#barium sulfide
CHEBI:33780	#beryllium compound
CHEBI:62843	#beryllium dichloride
CHEBI:35102	#beryllium dihydroxide
CHEBI:35151	#beryllium hydroxide
CHEBI:35103	#beryllium monohydroxide
CHEBI:62842	#beryllium oxide
CHEBI:53473	#beryllium sulfate
CHEBI:17579	#beta-carotene
CHEBI:10362	#beta-cryptoxanthin
CHEBI:27533	#beta-zeacarotene
CHEBI:64389	#biogenic silica
CHEBI:37196	#bismuth compound
CHEBI:37197	#bismuth hydride
CHEBI:30421	#bismuthane
CHEBI:49041	#bismuthanuide
CHEBI:30422	#bismuthonium
CHEBI:37198	#bismuthorane
CHEBI:30149	#borane
CHEBI:22908	#borate
CHEBI:22909	#borate ion
CHEBI:86222	#borax
CHEBI:33118	#boric acid
CHEBI:38268	#borinic acid
CHEBI:30157	#borohydride
CHEBI:22916	#boron compound
CHEBI:33588	#boron hydride
CHEBI:35777	#boron oxide
CHEBI:33145	#boron oxoacid
CHEBI:33619	#boron oxoanion
CHEBI:38267	#boronic acid
CHEBI:30158	#boronium
CHEBI:29223	#bromate
CHEBI:22923	#bromate salt
CHEBI:49382	#bromic acid
CHEBI:22925	#bromide salt
CHEBI:29875	#bromidodioxygen(.)
CHEBI:22928	#bromine compound
CHEBI:29874	#bromine dioxide
CHEBI:37764	#bromine oxide
CHEBI:33427	#bromine oxoacid
CHEBI:33444	#bromine oxoanion
CHEBI:29893	#bromine tetraoxide
CHEBI:29887	#bromine trioxide
CHEBI:29248	#bromite
CHEBI:29247	#bromous acid
CHEBI:37808	#butane
CHEBI:77732	#cadmium nitrate
CHEBI:37128	#caesium compound
CHEBI:33988	#caesium hydroxide
CHEBI:46719	#calcite
CHEBI:3310	#calcium acetate
CHEBI:3311	#calcium carbonate
CHEBI:86158	#calcium chloride dihydrate
CHEBI:91243	#calcium chloride hexahydrate
CHEBI:22985	#calcium compound
CHEBI:64301	#calcium cyanamide
CHEBI:31338	#calcium dibromide
CHEBI:3312	#calcium dichloride
CHEBI:35437	#calcium difluoride
CHEBI:31341	#calcium dihydroxide
CHEBI:35150	#calcium hydroxide
CHEBI:31342	#Calcium hypochlorite
CHEBI:35111	#calcium monohydroxide
CHEBI:64205	#calcium nitrate
CHEBI:64205	#calcium nitrate
CHEBI:77635	#calcium phosphate
CHEBI:35156	#calcium salt
CHEBI:31346	#calcium sulfate
CHEBI:91165	#capsanthin 5,6-epoxide
CHEBI:28616	#carbamic acid
CHEBI:16646	#carbohydrate
CHEBI:33582	#carbon compound
CHEBI:16526	#carbon dioxide
CHEBI:17245	#carbon monoxide
CHEBI:23014	#carbon oxide
CHEBI:35605	#carbon oxoacid
CHEBI:35604	#carbon oxoanion
CHEBI:30086	#carbon suboxide
CHEBI:41609	#carbonate
CHEBI:46720	#carbonate mineral
CHEBI:28976	#carbonic acid
CHEBI:36960	#carbonothioic acid
CHEBI:33575	#carboxylic acid
CHEBI:23042	#carotene
CHEBI:23044	#carotenoid
CHEBI:86202	#chalcopyrite
CHEBI:49709	#chlorate
CHEBI:23109	#chlorate salt
CHEBI:17322	#chloric acid
CHEBI:23114	#chloride salt
CHEBI:23117	#chlorine compound
CHEBI:52357	#chlorine dioxide
CHEBI:37750	#chlorine oxide
CHEBI:33426	#chlorine oxoacid
CHEBI:33437	#chlorine oxoanion
CHEBI:52353	#chlorine perchlorate
CHEBI:29420	#chlorine tetraoxide
CHEBI:29416	#chlorine trioxide
CHEBI:17441	#chlorite
CHEBI:28966	#chlorophyll
CHEBI:18230	#chlorophyll a
CHEBI:27888	#chlorophyll b
CHEBI:38202	#chlorophyll c1
CHEBI:38203	#chlorophyll c2
CHEBI:38199	#chlorophyll d
CHEBI:61290	#chlorophyll f
CHEBI:38206	#chlorophyllide
CHEBI:16900	#chlorophyllide a
CHEBI:38209	#chlorophyllide b
CHEBI:29219	#chlorous acid
CHEBI:138077	#chloroxanthin
CHEBI:35404	#chromate(2-)
CHEBI:23237	#chromium compound
CHEBI:35402	#chromium oxoanion
CHEBI:86204	#chromium trinitrate
CHEBI:53471	#chromium(III) sulfate
CHEBI:35696	#cobalt dichloride
CHEBI:86209	#cobalt dinitrate
CHEBI:30333	#cobalt trinitrate
CHEBI:53470	#cobalt(2+) sulfate
CHEBI:23377	#copper compound
CHEBI:134069	#copper oxide
CHEBI:53472	#copper(I) chloride
CHEBI:49553	#copper(II) chloride
CHEBI:86318	#copper(II) chloride dihydrate
CHEBI:91245	#copper(II) chloride pentahydrate
CHEBI:78036	#copper(II) nitrate
CHEBI:75955	#copper(II) oxide
CHEBI:23414	#copper(II) sulfate
CHEBI:51113	#covellite
CHEBI:81908	#cuprous oxide
CHEBI:35163	#cyclic carotene
CHEBI:46272	#cyclo-tetravanadate(4-)
CHEBI:57801	#cyclotriphosphate(3-)
CHEBI:15356	#cysteine
CHEBI:41808	#decane
CHEBI:37850	#decavanadate(6-)
CHEBI:27705	#delta-carotene
CHEBI:62505	#demethylspheroidene
CHEBI:33806	#deuterium hydrogen oxide
CHEBI:30197	#diaquahydrogen(1+)
CHEBI:50557	#diaquaoxonium
CHEBI:33110	#diarsane
CHEBI:35872	#diarsanetriide
CHEBI:33107	#diarsene
CHEBI:35870	#diarsenide
CHEBI:30104	#diazanetriide
CHEBI:30096	#diazene
CHEBI:30103	#diazenide
CHEBI:30094	#diazenium
CHEBI:30099	#diazynediium
CHEBI:30102	#diazynium
CHEBI:51685	#diborane
CHEBI:30163	#diboron trioxide
CHEBI:38273	#diboronic acid
CHEBI:52355	#dichlorine dioxide
CHEBI:52356	#dichlorine heptaoxide
CHEBI:33141	#dichromate(2-)
CHEBI:41981	#dideuterium oxide
CHEBI:33606	#dihydridoborate(1-)
CHEBI:33607	#dihydridoboron(.)
CHEBI:33605	#dihydridoboron(1+)
CHEBI:29324	#dihydridosulfur(.1+)
CHEBI:37182	#dihydridotin
CHEBI:29254	#dihydrogenborate
CHEBI:39745	#dihydrogenphosphate
CHEBI:29258	#dihydrogenphosphite
CHEBI:48124	#dihydrogensilicate(2-)
CHEBI:35169	#dihydrogenvanadate
CHEBI:35126	#dihydroxidodioxidomanganate(1-)
CHEBI:33536	#dihydroxidosulfur
CHEBI:29914	#diiodine pentaoxide
CHEBI:17437	#dimethyl sulfide
CHEBI:16223	#dimethylarsinate
CHEBI:48765	#dimethylarsinic acid
CHEBI:23808	#dimethylarsinous acid
CHEBI:38276	#dimethylborinic acid
CHEBI:30786	#dimethylmercury
CHEBI:36269	#dimolybdate(2-)
CHEBI:29802	#dinitrogen pentaoxide
