Sub category 1:	sub category 2:	sub category 3:	ontology ID	label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master paramater	Entity subset	category subset
carbon	carbon valence	carbon(1+)	CHEBI:29436	carbon(1+)	carbon valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
carbon	carbon valence	carbon(0)	CHEBI:33419	carbon(0)	carbon valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
carbon	dicarbon		CHEBI:30083	dicarbon	carbon											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
carbon	dicarbon	dicarbide(1.-)	CHEBI:30082	dicarbide(1.-)	dicarbon											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
carbon	dicarbon	dicarbide(2-)	CHEBI:30081	dicarbide(2-)	dicarbon											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
carbon	dicarbon	dicarbon(1+)	CHEBI:30084	dicarbon(1+)	dicarbon											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
cerium			CHEBI:37265	cerium												http://bcodmo/sm#chemistry	http://bcodmo/sm#element
cerium	cerium isotope		CHEBI:33369	cerium isotope	cerium						Called cerium not cerium isotope in CHEBI.					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
cerium	cerium isotope	cerium-140 isotope	BSM:0200031	cerium-140 isotope	cerium isotope						Add to CHEBI.					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
cerium	cerium valence		BSM:0200032	cerium valence	cerium						Possibly add to CHEBI.					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
cerium	cerium valence	cerium(3+)	CHEBI:48782	cerium(3+)	cerium valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
cerium	cerium valence	cerium(4+)	CHEBI:37264	cerium(4+)	cerium valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
cesium			CHEBI:155919	cesium												http://bcodmo/sm#chemistry	http://bcodmo/sm#element
cesium	cesium isotope		CHEBI:30514	cesium isotope	cesium										http://lod.bco-dmo.org/id/parameter/527975|http://lod.bco-dmo.org/id/parameter/1858|http://lod.bco-dmo.org/id/parameter/1861	http://bcodmo/sm#chemistry	http://bcodmo/sm#element
cesium	cesium isotope	cesium-133 isotope	BSM:0200033	cesium-133 isotope	cesium isotope											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
cesium	cesium isotope	cesium-134 isotope	BSM:0200034	cesium-134 isotope	cesium isotope										http://lod.bco-dmo.org/id/parameter/1879|http://lod.bco-dmo.org/id/parameter/1881|http://lod.bco-dmo.org/id/parameter/1860	http://bcodmo/sm#chemistry	http://bcodmo/sm#element
cesium	cesium isotope	cesium-137 isotope	BSM:0200035	cesium-137 isotope	cesium isotope										http://lod.bco-dmo.org/id/parameter/1859|http://lod.bco-dmo.org/id/parameter/1883	http://bcodmo/sm#chemistry	http://bcodmo/sm#element
chlorine			CHEBI:33431	chlorine												http://bcodmo/sm#chemistry	http://bcodmo/sm#element
chlorine	chlorine isotope		CHEBI:23116	chlorine isotope	chlorine										http://lod.bco-dmo.org/id/parameter/707576|http://lod.bco-dmo.org/id/parameter/671566	http://bcodmo/sm#chemistry	http://bcodmo/sm#element
chlorine	chlorine valence		BSM:0200004	chlorine valence	chlorine											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
chlorine	chlorine valence	chloride	CHEBI:17996	chloride	chlorine valence										http://lod.bco-dmo.org/id/parameter/661641	http://bcodmo/sm#chemistry	http://bcodmo/sm#element
chlorine	chlorine valence	chlorine(0)	CHEBI:29311	chlorine(0)	chlorine valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
chlorine	chlorine valence	chlorine(1+)	CHEBI:30120	chlorine(1+)	chlorine valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
chlorine	dichlorine		CHEBI:29310	dichlorine	chlorine											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
chlorine	dichlorine	dichloride(.1-)	CHEBI:29413	dichloride(.1-)	dichlorine											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
chlorine	dichlorine	dichlorine(.1+)	CHEBI:29419	dichlorine(.1+)	dichlorine											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
chromium			CHEBI:155866	chromium												http://bcodmo/sm#chemistry	http://bcodmo/sm#element
chromium	chromium isotope		CHEBI:28073	chromium isotope	chromium											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
chromium	chromium isotope	chromium-51 isotope	CHEBI:50076	chromium-51 isotope	chromium isotope											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
chromium	chromium isotope	chromium-52 isotope	BSM:0200036	chromium-52 isotope	chromium isotope						Add to CHEBI.					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
